"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta1[13]",1759.01980476776,1762.06,1807.83477966369,15202,0.95,168.207,3337.76,NA,NA,NA,NA,NA,NA,NA
"beta1[14]",1815.04503537523,1798.67,1780.71009156109,16249.1,0.95,214.764,3384.06,NA,NA,NA,NA,NA,NA,NA
"beta1[15]",1828.71142107695,1813.36,1809.0205009631,16275.1,0.95,292.197,3460.79,NA,NA,NA,NA,NA,NA,NA
"beta1[16]",1492.25045978165,1584.4,1756.20855491001,10603.4,0.95,-299.704,3053.98,NA,NA,NA,NA,NA,NA,NA
"beta1[17]",1511.88560416074,1590.01,1762.8938198555,10876.3,0.95,-247.855,2977.64,NA,NA,NA,NA,NA,NA,NA
"beta1[18]",1883.4988059792,1845.95,1827.18501156894,15608.8,0.95,411.215,3609.11,NA,NA,NA,NA,NA,NA,NA
"beta1[19]",1669.82398551505,1702.16,1757.91763296746,15245.3,0.95,28.0549,3209.84,NA,NA,NA,NA,NA,NA,NA
"beta1[20]",1884.85120064547,1841.98,1814.76060344477,14402.9,0.95,318.621,3550.77,NA,NA,NA,NA,NA,NA,NA
"beta1[21]",2174.42649896655,2041.45,1875.27774154987,8029.1,0.95,674.81,4032.79,NA,NA,NA,NA,NA,NA,NA
"beta1[22]",2663.05809254537,2407.87,1919.96793034619,4144.9,0.95,986.678,5018.51,NA,NA,NA,NA,NA,NA,NA
"beta1[23]",1641.8004380823,1684.32,1712.075652418,14505.4,0.95,12.059,3233.14,NA,NA,NA,NA,NA,NA,NA
"beta1[24]",1729.92672879361,1737.34,1743.9870739354,15673,0.95,60.8168,3400.65,NA,NA,NA,NA,NA,NA,NA
"beta1[25]",1437.71300818922,1539.47,1751.67746410635,10058.1,0.95,-286.971,2988.72,NA,NA,NA,NA,NA,NA,NA
